arxiv_id,published,title,authors,category,matched_keywords,url,abstract
2606.14870v1,2026-06-12,Pre-Training for Simulation-Based Science: A Study on Jet Foundation Model Training Objectives,Ibrahim Elsharkawy; Joschka Birk; Vinicius Mikuni; Wahid Bhimji; Gregor Kasieczka; Benjamin Nachman,hep-ph,jet,http://arxiv.org/abs/2606.14870v1,"Foundation models (FMs) trained on large datasets and fine-tuned on downstream tasks have emerged as a powerful paradigm in AI for science. Industrial FMs are typically trained using self-supervision with masking due to the lack of labels. In many scientific domains, accurate simulations are plentiful and facilitate large, labeled datasets. This opens up new possibilities for pre-training. We present a systematic comparison of pre-training methods using the OmniLearned High Energy Physics FM framework. We test supervised classification, flow-matching generation, and self-supervised masked particle modeling. All models are pre-trained on the JetClass dataset and fine-tuned on two representative downstream tasks, top jet classification and JetNet conditional generation. Among other observations, for classification tasks, we find that pure classifier pre-training is optimal when downstream labels and model capacity are plentiful, but combining it with self-supervised masked particle modeling (MPM) is uniquely powerful in the low-finetuning label regime. Flow matching-based generative pre-training seems to provide little benefit for downstream classification, and interestingly, for downstream generation, we find that flow matching must be in the pre-training objective to see a significant finetuning advantage, hinting at the orthogonality of classification and generation tasks. That is, for a model to transfer to both generative and classification downstream tasks, it must be pre-trained on both. This study provides a template for controlled scaling analysis of pre-training objectives for foundation models in simulation-based sciences."
2606.14863v1,2026-06-12,Towards a consistent perturbation theory at finite temperature,Passant Ali; Peter Lowdon; Owe Philipsen,hep-ph,non-perturbative,http://arxiv.org/abs/2606.14863v1,"The standard approach to perturbation theory for finite-temperature quantum field theories has several issues, including the appearance of ill-defined on-shell contributions in the real-time formulation, and infrared diverges in massless theories. Earlier studies indicate that these issues all stem from the inconsistent thermal generalisation of the Gell-Mann-Low relation, which forms the foundation of perturbation theory in vacuum. This inconsistency arises from the use of free scattering states in the relation, which are known not to exist in interacting thermal theories. In this work, we propose a generalisation of the Gell-Mann-Low relation for scalar theories based on non-perturbative spectral insights, namely that finite-temperature scattering states can be described by damped but stable particle-like excitations, so-called thermoparticles. The perturbative expansion of this generalised relation gives rise to contributions with exactly the same topology as the standard finite-temperature approach, except that now the propagators appearing in this expansion are not those of a free field but of thermoparticles, which depend on the dynamics of the theory. We demonstrate that thermoparticle perturbation theory resolves the known problems of the standard approach. Furthermore, by comparing imaginary-time calculations at two-loop level with numerical lattice simulations of two-point correlation functions in massive $φ^{4}$ theory, we explicitly show that this framework gives rise to precise predictions, as in the vacuum case, in stark contrast to the standard approach."
2606.14853v1,2026-06-12,The limits of lattice inflation: a cautionary tale,Will Barker; Benjamin Gladwyn; Sebastian Zell,astro-ph.CO,non-perturbative,http://arxiv.org/abs/2606.14853v1,"Cosmological lattice simulations have become important tools for studying non-perturbative dynamics in the early Universe. Many widely used codes, however, approximate the gravitational background by an exact Friedmann-Lemaître-Robertson-Walker (FLRW) spacetime and neglect metric perturbations. We show that, during inflation, this approximation prevents the freezing of superhorizon modes. During slow roll, the curvature power spectrum decays as $H^4$, while the deviation becomes substantially stronger during ultra-slow roll. As a result, inflationary observables can be significantly distorted. In contrast, reheating studies appear to be considerably less sensitive to the omission of metric perturbations. We propose a practical criterion for assessing the validity of FLRW simulations based on the inclusion of first-order metric perturbations, and implement it in CosmoLattice."
2606.14373v1,2026-06-12,Machine-learned particle flow as a foundation model for collider physics,Farouk Mokhtar; Joosep Pata; Michael Kagan; Javier Duarte,hep-ex,jet,http://arxiv.org/abs/2606.14373v1,"The workflow from particle collision to physics analysis passes through a series of reconstruction steps that are traditionally modular and disconnected, with no shared representation linking low-level detector data to high-level analysis tasks. We show that casting event reconstruction as a machine learning problem naturally produces such a shared representation. We repurpose a machine learning model trained for particle-flow reconstruction (MLPF) to perform three distinct analysis tasks: jet flavor identification, jet energy regression, and missing momentum regression. By appending the per-particle latent representations learned during reconstruction as additional input features, we substantially improve over baselines that use kinematic features alone. We further demonstrate that a single linear layer trained using only the latent representations achieves competitive performance against state-of-the-art baseline architectures, and outperforms the baseline for missing momentum regression with approximately 35 times fewer parameters. These results demonstrate that the latent representations learned during reconstruction encode essential physics information needed for downstream analysis, establishing MLPF as a foundation model and offering a concrete step toward an end-to-end pipeline from detector data to physics analysis."
2606.14362v1,2026-06-12,Search for dark photons from Higgs boson decays in the gluon-gluon fusion channel in proton-proton collisions at $\sqrt{s}=13.6$ TeV with the ATLAS detector, ATLAS Collaboration,hep-ex,jet,http://arxiv.org/abs/2606.14362v1,"This paper presents a search for semi-visible Higgs boson decays in final states with a photon ($γ$) and missing transverse momentum $p_T^{miss}$. The analysis is optimised for the gluon-gluon fusion production channel and exploits a novel trigger deployed in 2023, with reduced thresholds down to 50 GeV on the photon transverse momentum ($p_T^γ$) and 70 GeV on the $p_T^{miss}$, in combination with a selection on the transverse mass of the $p_T^{miss}$-$γ$ system ($m_T$) above 80 GeV. The results are interpreted in terms of Higgs boson decays into a $γ$ and a dark photon $γ_d$ ($H \to γγ_d$). The analysis is performed using 135 fb$^{-1}$ of Run 3 data collected by ATLAS in 2023 and 2024. A boosted decision tree is used to identify events with misreconstructed primary vertices, which can affect the $p_T^{miss}$ calculation. Data-driven methods are employed to estimate the backgrounds from jets and electrons misidentified as photons, while the backgrounds with genuine photons are taken from Monte Carlo simulations, normalised to data in control regions with muons. A binned maximum-likelihood fit to the $m_T$ distribution is performed to evaluate the compatibility of the observed data with the Standard Model expectation. No significant excess is observed over the Standard Model prediction, and an observed (expected) upper limit on the branching ratio of $H \to γγ_d$ of 1.4% (1.2%) is obtained at 95% confidence level. Combining this result with previous Run 2 searches improves the observed (expected) upper limit to 0.9% (0.9%)."
2606.14813v1,2026-06-12,JetParticle-JEPA: An Efficient Self-Supervised Representation Learning method for Jet Tagging in High-Energy Physics,Guillaume Letellier; Antonin Vacheret; Frédéric Jurie,hep-ph,jet,http://arxiv.org/abs/2606.14813v1,"Jet tagging at the Large Hadron Collider increasingly relies on deep learning models trained on massive simulated datasets, leading to high computational costs and limited robustness to detector mismodeling. We introduce JetParticle-JEPA (JP-JEPA), a self-supervised Joint-Embedding Predictive Architecture that learns physically meaningful jet representations directly from continuous particle clouds without tokenization or reconstruction of raw inputs. Built on a Particle Transformer backbone, JP-JEPA predicts latent representations of masked particles while preserving fine-grained kinematic correlations. On the JetClass benchmark, JP-JEPA achieves performance comparable to fully supervised state-of-the-art methods on the full dataset, surpasses supervised baselines in low-label regimes, and significantly outperforms existing SSL approaches. On Top Quark and Quark-Gluon Tagging benchmarks, it remains on par with supervised methods. The learned representations also exhibit strong robustness to missing detector information and improved uncertainty behavior, highlighting JP-JEPA as a promising foundation-model framework for robust and data-efficient jet physics at the LHC."
2606.14807v1,2026-06-12,Centaurus A Inner Lobes -- I. Hydrodynamic modeling of a Precessing Jet,Rita C. Anjos; Brian Reville,astro-ph.HE,jet,http://arxiv.org/abs/2606.14807v1,"We present a numerical investigation into the precessing jets of the inner lobes of Centaurus A, focusing on their dynamical evolution and interaction with the surrounding medium. Using three-dimensional relativistic hydrodynamic simulations, we model the development of large-scale jet and lobe structures driven by precession. Our setup incorporates physically motivated parameters to reproduce observed morphological features. We compare the resulting structures from our simulations with observed radio images of Centaurus A, particularly focusing on the S-shaped morphology, the distribution of bright emission regions, and the observed asymmetry between the northern and southern lobes. Our findings indicate a precession period of 1.8 Myr, which reproduces observational characteristics. This study explores the role of jet precession in shaping the inner lobes of Centaurus A."
2606.13077v1,2026-06-11,A generalised-$k_t$ jet algorithm for Deep Inelastic Scattering,Melissa van Beekveld; Silvia Ferrario Ravasio; Alexander Karlberg; Darcy Peake,hep-ph,"jet, non-perturbative",http://arxiv.org/abs/2606.13077v1,"We introduce an inclusive generalised-$k_t$ jet algorithm for Deep Inelastic Scattering, defined in the Breit frame and implemented in fjcontrib. The family of algorithms is governed by the usual parameter $p$, which controls the transverse-momentum dependence of the algorithm, as well as by a jet radius parameter $R$. The angular-ordered ($p=0$) version of the algorithm was already presented by some of us, and can be used to formulate observables with simple all-order structures. In this article we investigate phenomenological applications of the algorithms related to the identification of the jet associated with the struck quark, and assess their sensitivity to non-perturbative effects, such as hadronisation. We also perform comparisons with the recent Centauro algorithm."
2606.13724v1,2026-06-11,Dynamical Mass Growing of Fermion with Bare Mass in Two Dimensions,Toyoki Matsuyama,hep-ph,non-perturbative,http://arxiv.org/abs/2606.13724v1,"We study dynamical mass generation of a fermion with and without a bare mass by coupling with a massive vector field in two-dimensional space-time. To estimate a non-perturbative effect on the fermion mass, we employ the Schwinger-Dyson equations in the lowest-ladder approximation, which are solved by an approximated analytical method and also by a numerical method. We define a purely dynamical mass as a remnant after subtracting the bare mass from a total dynamical mass. We clarify dependence of the purely dynamical mass on the bare mass of the fermion in various region of a coupling constant. Especially we find that the purely dynamical masses growing from the different bare masses coincide with each other at a specific value of the coupling constant where a kind of a duality relation on the bare masses is satisfied."
2606.11517v1,2026-06-09,Probing TeV-Scale Inverse-Seesaw Leptogenesis and Majorana Dark Matter in $U(1)_{B-L}$ Models at Multi-TeV Muon Colliders,Xin-Qiang Li; Himadri Roy; Tripurari Srivastava; Ya-Dong Yang; Xing-Bo Yuan,hep-ph,jet,http://arxiv.org/abs/2606.11517v1,"We investigate a predictive and testable framework in which dark matter (DM), heavy-neutrino dynamics, and the BAU originate from correlated interactions within a local $U(1)_{B-L}$ extension of the SM. Unlike conventional $B-L$ constructions based on the type-I seesaw, we employ an inverse-seesaw mechanism realized through a sterile fermion $S_{1}$ and a complex scalar field $φ$, whose vacuum expectation value simultaneously generates the masses of the heavy neutrinos $N_{1,2}$ and the Majorana DM fermion $χ$ via Yukawa couplings. The small lepton-number-violating parameter induced by a higher-dimensional operator leads to naturally light active neutrinos together with TeV-scale heavy neutrinos and sizable active-sterile mixing, yielding distinctive collider signatures unavailable in minimal $B-L$ models. The relic abundance of $χ$ is governed by annihilation channels mediated by the same scalar and gauge interactions, producing a direct and model-specific correlation between successful leptogenesis and the observed DM relic density. A combined parameter-space analysis incorporating neutrino oscillation data, lepton-flavor-violating processes, direct-detection limits, and collider bounds on $N_{1,2}$ and $Z^\prime$ reveals a narrow yet robust region consistent with all these constraints. Representative benchmark points in this region are examined at a future multi-TeV muon collider. Heavy-neutrino production through electroweak processes yields striking signatures in the dilepton plus missing energy ($2\ell + E\!\!\!/_T$) and single-lepton plus di-jet plus missing energy ($1\ell + 2j + E\!\!\!/_T$) final states. These channels demonstrate that next-generation muon colliders offer a powerful and complementary probe of the inverse-seesaw origin of neutrino masses, the DM relic density, and the TeV-scale leptogenesis within such an extended $U(1)_{B-L}$ framework."
2606.11077v1,2026-06-09,Multiplicity-dependent forward jet production in proton-nucleus collisions,Lei Wang,hep-ph,jet,http://arxiv.org/abs/2606.11077v1,"Forward jet production in proton--nucleus collisions probes a dilute projectile scattering from a dense small-$x$ nuclear gluon field, while the charged-particle multiplicity inside the jet probes the final-state cascade in the jet cone. We develop a factorization framework for single-inclusive forward jets with an internal multiplicity measurement by combining the Color Glass Condensate (CGC) description of the production process with soft-collinear effective theory (SCET) semi-inclusive jet functions. The construction preserves the inclusive limit exactly: at zero multiplicity weight it reduces to the known inclusive next-to-leading order (NLO)/resummed CGC forward-jet cross section. We define the multiplicity-measured jet operator in a CGC background, formulate the matching that separates PDF, BK/JIMWLK, Sudakov, SiJF, and multiplicity-evolution radiation, and identify the Wilson-line resolution mechanism through which saturation can modify the internal multiplicity evolution. The resulting framework shows that high-multiplicity forward jets are sensitive both to the quark/gluon mixture generated by the CGC production kernel and to finite-$Q_s$ corrections when an early in-cone splitting is resolved by the target. A baseline numerical implementation validates the factorized structure and illustrates the resulting multiplicity-conditioned nuclear modification."
2606.11061v1,2026-06-09,Endpoint Logarithms in the NLO Mueller-Navelet Jet Vertex: Threshold Matching and BLM/MOM Prescription Sensitivity,Lei Wang,hep-ph,jet,http://arxiv.org/abs/2606.11061v1,"The endpoint region $ζ\to1$ of the NLO forward jet vertex has not been systematically separated from BFKL energy-scale terms in Mueller-Navelet phenomenology. Starting from the small-cone NLO vertex, we isolate the quark and gluon plus distributions and construct a BFKL-aware threshold matching scheme that preserves exact NLO accuracy. The conservative Scheme-II exponent resums only the ordinary endpoint logarithms and leaves the $χ(n,γ)\ln\bar N$ term in the fixed-order coefficient, avoiding an uncontrolled tower of mixed endpoint-BFKL logarithms. In fixed-baseline CMS tests, this matched vertex is a controlled deformation of an optimized-NLL pointwise BLM/MOM calculation: it moves $R_{21}=C_2/C_1$ in the high-$ΔY$ direction favored by CMS, but it does not improve $C_1/C_0$ or $R_{32}=C_3/C_2$ in the same prescription. A coefficient-projected table-BLM diagnostic improves the absolute moments but lowers $R_{21}$ and is sensitive to the large-$|ν|$ tail. Thus the endpoint matching is internally consistent and phenomenologically informative, while the present setup does not provide a simultaneous description of all five CMS azimuthal observables."
2606.10993v1,2026-06-09,The Gravitational Form Factor of the Pion in Perturbative QCD with a Dilaton Interaction,Claudio Corianò; Hsiang-nan Li; Dario Melle; Leonardo Torcellini,hep-ph,resummation,http://arxiv.org/abs/2606.10993v1,"We investigate the pion gravitational form factors (GFFs) at intermediate and large momentum transfer within the framework of QCD factorization. Our analysis centers on the non-Abelian $TJJ$ correlator, which couples the local QCD energy-momentum tensor to two external gluon fields and explicitly encodes the perturbative effects of the trace anomaly. We demonstrate how this quantum anomaly induces a scalar, dilaton-like contribution to the hard-scattering kernel. To ensure field-theoretic consistency, a careful separation of the quark and gluon sectors is performed, accounting for the modifications introduced by gauge-fixing terms and Slavnov-Taylor identities on the off-shell gluonic structure. To obtain realistic phenomenological predictions and regulate soft-gluon endpoint divergences in the hard kernel, we implement the Sudakov resummation framework coupled with a Gaussian model for the pion's transverse-momentum-dependent wave function. We show that the resulting anomaly-induced corrections significantly modify the behavior of the pion GFFs at large momentum transfer, leaving a unique imprint on the trace sector and the $D$-term."
2606.10689v1,2026-06-09,Chiral Plasma under Strong Magnetic Fields: A Holographic Analysis of Transport Phenomena,Michael Lublinsky; Hadas Tzarfati,hep-th,resummation,http://arxiv.org/abs/2606.10689v1,"Chiral plasma appears in several areas of physics, historically starting from primordial plasma in the early Universe, then in quark-gluon plasma produced in heavy ion collisions, and, more recently, in Dirac and Weyl semimetals. The major signature of the plasma is the non-conservation of the axial current due to the chiral anomaly and the emergence of new, anomaly-induced transport phenomena. In this paper, we study the plasma exposed to arbitrarily strong constant magnetic and weak electric fields. Employing all-order gradient resummation, we write down constitutive relations for electric and axial currents parameterized by thirteen momentum- and magnetic- field-dependent transport coefficient functions. The latter are computed utilizing a theoretical lab for a realistic plasma, namely a holographic $U(1)_V \times U(1)_A$ Maxwell--Chern--Simons theory in Schwarzschild--AdS$_5$, in the probe limit. As an application, we revisit the phenomena of negative magnetoresistance and chiral magnetic waves, beyond the naive hydrodynamic limit."
2606.10588v1,2026-06-09,Hunting for QCD Instantons,M. G. Ryskin; V. A. Khoze,hep-ph,non-perturbative,http://arxiv.org/abs/2606.10588v1,Instantons are non-perturbative classical solutions which describe transitions between different QCD vacua. They have never been observed experimentally. We consider the signatures of the instanton (sphaleron) production events and the main QCD backgrounds. The possibilities to search for the QCD instantons in the diffractive (i.e. with a large rapidity gap) events at the LHC and via the spin-spin correlations between two hyperons at NICA are discussed.
2606.10576v1,2026-06-09,Constraints on the Higgs-gluon effective coupling through $h \to γγ$ decays at the LHC,A. Mohamed-Meziani,hep-ph,parton shower,http://arxiv.org/abs/2606.10576v1,"We present a detailed study of the $pp\to h\toγγ$ process in the HPOprodMFV\_UFO model framework, focusing on the Higgs-gluon effective coupling modifier, $κ_g$. We generate events for 26 parameter points corresponding to $|κ_g|$ values ranging from 0.6 to 1.4 using MadGraph5\_aMC@NLO simulations at 13 TeV with NNPDF3.1 parton distribution functions. These events are processed through Pythia8 for parton showering and hadronisation. This is followed by a fast detector simulation using Delphes with an ATLAS-like configuration and analysis with MadAnalysis5. We verify the expected quadratic scaling, $σ(pp \to h \to γγ) \propto κ_g^2$, with high precision, confirming the consistency of our simulation framework. The Standard Model cross section after the application of selection cuts is found to be $σ_{\mathrm{SM}} = 0.04067 \pm 0.00008$ pb. By comparing our results with the ATLAS Run 2 likelihood profile from HEPData (HEPData:ins1851456), we derive constraints on $|κ_g|$: \begin{align*} |κ_g| &\in [0.80,\, 1.20] \quad \text{at 68\% CL}, |κ_g| &\in [0.70,\, 1.30] \quad \text{at 95\% CL},. \end{align*} These results are in excellent agreement with the official ATLAS and CMS combinations. Our analysis validates the HPOprodMFV\_UFO model implementation and demonstrates the effectiveness of simplified simulations in exploring Higgs couplings in the diphoton channel. }"
2606.10476v1,2026-06-09,The Non-perturbative term for the Axial-vector Form Factor of Pion Decay,Susumu Kinpara,hep-ph,non-perturbative,http://arxiv.org/abs/2606.10476v1,The axial-vector form factor for the decay of pion $π^{+} \rightarrow γ+ e^{+} + ν_e$ is calculated by using the pseudovector coupling pion-nucleon interaction with the non-perturbative term. The self-energy is approximated by the lowest-order constant. The parameter is significant to improve the value of the form factor as well as the vector form factor in our previous study.
